,question,answer
0," Mr. President, thank you for this opportunity -- we really appreciate it. ",Thank you so much.
1," Sir, you just met with your personal envoy to the Middle East, Senator Mitchell. Obviously, his first -- first task is to consolidate the cease-fire. But beyond that you've been saying that you want to pursue actively and aggressively peacemaking between the Palestinians and...the Israelis. Tell us a little bit about how do you see your personal role, because, you know, if the President of the United States is not involved, nothing happens -- as the history of peace making shows. Will you be proposing ideas, pitching proposals, parameters, as one of your predecessors did? Or just urging the parties to come up with their own resolutions, as -- as your immediate predecessor did? ","Well, I -- I think the -- the most important thing is for the United States to get engaged right away."
2, Right. ,"And George Mitchell is somebody of enormous stature. He is one of the few people who have international experience brokering peace deals. And so what I told him is start by listening, because all too often the United States starts by dictating -- in the past on some of these issues -- and we don't always know all the factors that are involved. So, let's listen. He's going to be speaking to all the major parties involved and he will then report back to me. From there, we will formulate a specific response. Ultimately, we cannot tell either the Israelis or the Palestinians what's best for them. They're going to have to make some decisions. But I do believe that the moment is ripe for both sides to realize that the path that they are on is one that is not going to result in prosperity and security for their people, and that, instead, it's time to return to the negotiating table. It's going to be difficult; it's going to take time. I don't want to prejudge many of these issues, and I want to make sure that expectations are not raised so that we think that this is going to be resolved in a few months. But if we start steady progress on these issues, I'm absolutely confident that the United States -- working in tandem with the European Union, with Russia, with all the Arab states in the region -- I'm absolutely certain that we can make significant progress."
3," You've been saying essentially that we should not look at these issues -- like the Palestinian-Israeli track and separation from the border region -- you've been talking about a kind of holistic approach to the region. Are we expecting a different paradigm in the sense that in the past one of the critiques -- at least from the Arab side, the Muslim side -- is that everything the Americans always test -- tested with the Israelis, if it works. Now there is an Arab peace plan, there is a regional aspect to it. And -- And you've indicated that. Would there be any shift, a paradigm shift? ","Well -- Well, here's what I think is important. You look at the proposal that was put forth by King Abdullah of Saudi Arabia --"
4, Right. ,"I might not agree with every aspect of the proposal, but it took great courage --"
5, Absolutely. ,-- to put forward something that is as significant as that. I think that there are ideas across the region of how we might pursue peace. I do think that it is impossible for us to think only in terms of the Palestinian-Israeli conflict and not think in terms of what's happening with Syria or Iran or Lebanon or Afghanistan and Pakistan.
6, Sure. ,These things are interrelated.
7, Sure. ,"And what I've said -- and I think Hillary Clinton has expressed this in her confirmation -- is that if we are looking at the region as a whole and communicating a message to the Arab world and the Muslim world, that we are ready to initiate a new partnership based on mutual respect and mutual interest, then I think that we can make significant progress. Now, Israel is a strong ally of the United States. They will not stop being a strong ally of the United States. And I will continue to believe that Israel's security is paramount. But I also believe that there are Israelis who recognize that it is important to achieve peace. They will be willing to make sacrifices if the time is appropriate and if there is serious partnership on the other side. And so what we want to do is to listen, set aside some of the preconceptions that have existed and -- and have built up over the last several years. And I think if we do that, then there's a possibility at least of -- of achieving some breakthroughs."
8," Now I want to ask you about the broader Muslim world, but let me -- one final thing about the Palestinian-Israeli theater. There are many Palestinians and Israelis who are very frustrated now with the -- with the current conditions and they are losing hope; they are disillusioned; and they believe that time is running out on the two-state solution because -- mainly because of the -- the settlement activities in...Palestinian-occupied territories. Will it still be possible to see a Palestinian state -- and you know the contours of it -- within the first Obama Administration? ","I think it is possible for us to see a Palestinian state -- I'm not going to put a time frame on it -- that is contiguous, that allows freedom of movement for its people, that allows for trade with other countries, that allows the creation of businesses and commerce so that people have a better life. And, look, I think anybody who has studied the region recognizes that the situation for the ordinary Palestinian in many cases has not improved. And the bottom line in all these talks and all these conversations is: Is a child in the Palestinian Territories going to be better off? Do they have a future for themselves? And, is the child in Israel going to feel confident about his or her safety and security? And if we can keep our focus on making their lives better and look forward, and not simply think about all the conflicts and tragedies of the past, then I think that we have an opportunity to make real progress. But it is not going to be easy, and that's why we've got George Mitchell going there. This is somebody with extraordinary patience as well as extraordinary skill, and that's what's going to be necessary."
9," Let me take a broader look at the whole region. You are planning to address the Muslim world in your first 100 days from a Muslim capital. And everybody is speculating about the capital. If you have anything further, that would be great. How concerned are you -- because, let me tell you, honestly, when I -- when I see certain things about America -- in some parts, I don't want to exaggerate -- there is a demonization of America. ",Absolutely.
10," It's become like a new religion, and like a new religion it has new converts, like a new religion has its own high priests. ",Right.
11," It's own, even, religious texts. ",Right.
12," And...in the last -- since 9/11 and because of Iraq, that alienation, you know, is -- is wider between the Americans. And...in generations past, the United States was held high. It was the only Western power with no colonial legacy. ",Right.
13," How concerned are you and...because people sense that you have a different political discourse. And...I think, judging by [inaudible] and Zawahiri and Osama bin Laden and all these, that... -- ","Yeah, I noticed."
14, -- a chorus -- ,They -- They seem nervous.
15," They seem very nervous, exactly. And...now, tell me why they should be more nervous? ",Well...I think that when you look at the rhetoric that they've been using against me before I even took office --
16," I know, I know. ",-- what that tells me is that their ideas are bankrupt.
17, Absolutely. ,"... There's no actions that they've taken that say a child in the Muslim world is getting a better education because of them, or has better health care because of them. In my inauguration speech, I've spoke[n] about: You will be judged on what you built, not what you destroy. And what they've been doing is destroying things. And over time, I think the Muslim world has recognized that that path is leading no place, except more death and destruction. Now, my job is to communicate the fact that the United States has a stake in the well-being of the Muslim world that the language we use has to be language of respect. You know, I have Muslim members of my family."
18, True. ,I have lived in Muslim countries.
19, The largest one. ,"The largest one, Indonesia. And so what I want to communicate is the fact that in all my travels throughout the Muslim world, what I've come to understand is is that regardless of your faith -- and America is a country of Muslim[s], Jews, Christians, non- believers -- regardless of your faith, people all have certain common hopes and common dreams. And my job is to communicate to the American people --"
20, True. ,"-- that the Muslim world is filled with extraordinary people who simply want to live their lives and see their children live better lives. My job to the Muslim world is to communicate that the Americans are not your enemy. We sometimes make mistakes. We have not been perfect. But if you look at the track record, as you say, America was not born as a colonial power, and that the same respect and partnership that America had with the Muslim world as recently as 20 or 30 years ago --"
21, True. ,"-- there's no reason why we can't restore that. And -- And that I think is going to be an important task. But ultimately, people are going to judge me not by my words but by my actions and my Administration's actions. And I think that what you will see over the next several years is that I'm not going to agree with everything that some Muslim leader may say, or what's on a television station in the Arab world; but I think that what you'll see is somebody who is listening, who is respectful, and who is trying to promote the interests not just of the United States, but also ordinary people who right now are suffering from poverty and a lack of opportunity. I want to make sure that I'm speaking to them, as well."
22, And any decision on -- on from where you will -- you will be addressing the Muslim world or is too early? ,"Well, you know, I'm not -- I'm not going to break the news right here."
23, Maybe next time? ,But maybe next time. ...But it is something that's going to be important.
24, True. ,"I -- I want people to recognize, though, that we are going to be making a series of initiatives. Us sending George Mitchell --"
25, Right. True. ,-- to the Middle East is fulfilling my campaign promise that we're not going to wait until the end of my Administration to deal with Palestinian and -- and Israeli peace. We're going to start now. It may take a long time to do --
26, Sure. ,"-- but we're going to do it now. We're going to follow through on our commitment for me to address the Muslim world from a Muslim capital. We are going to follow through on many of my commitments to do a more effective job of reaching out, listening, as well as speaking to the Muslim world. And I-- you're going to see me following through with dealing with a drawdown of troops in Iraq, so that Iraqis can start taking more responsibility. And finally, I think you've already seen a commitment, in terms of closing Guantanamo --"
27, Absolutely. ,"-- and making clear that even as we are decisive in going after terrorist organizations that would kill innocent civilians, that we're going to do so on our terms, and we're going to do so respecting the rule of law that I think makes America great."
28," President Bush framed the war on -- on terror conceptually in a -- in a way that was very broad, ""War on terror,"" and he used sometimes certain terminology that the -- that the many people -- ""Islamofascism."" 1 ",Right.
29," You've always framed it in a different way, specifically against one group called al Qaeda -- ",Right.
30, -- and their collaborators. And -- And is this one way of -- ,"...I think that you're making a very important point. And -- And that is that the language we use matters. And what we need to understand is, is that there are extremist organizations -- whether Muslim or any other faith in the past -- that will use faith as a justification for violence. We cannot paint with a broad brush a faith as a consequence of the violence that is done in that faith's name. And so you will I think see our Administration be very clear in distinguishing between organizations like al Qaeda -- that espouse violence --"
31, Right. ,"-- espouse terror and act on it -- and people who may disagree with my Administration and certain actions, or may have a particular viewpoint in terms of how their countries should develop. We can have legitimate disagreements"
32, True. ,-- but still be respectful. I cannot respect terrorist organizations that would kill innocent civilians and we will hunt them down. But to the broader Muslim world what we are going to be offering is a hand of friendship.
33," Will the United States ever live with a nuclear Iran? And if not, how far are you going in...the direction of preventing it? ","You know, I said during the campaign that it is very important for us to make sure that we are using all the tools of U.S. power, including diplomacy, in our relationship with Iran. Now, the Iranian people are a great people. The Persian civilization is a great civilization. Iran has acted in ways that's not conducive to peace and prosperity in the region -- their threats against Israel, their pursuit of a nuclear weapon which could potentially set off a[n] arms race in the region that would make everybody less safe; their support of terrorist organizations in the past -- none of these things have been helpful. But I do think that it is important for us to be willing to talk to Iran, to express very clearly where our differences are, but where there are potential avenues for progress. And we will, over the next several months, be laying out our general framework and approach. And as I said during my inauguration speech, if countries like Iran are willing to unclench their fist, they will find an extended hand from us."
34," Sir, I really appreciate it. ",Thank you so much.
35, Thanks a lot. ,I appreciate it.
36," Thank you, Mr. President. Earlier today in Indiana you said something striking. You said that this nation could end up in a crisis, without action, that we would be unable to reverse. Can you talk about what you know or what you're hearing that would lead you to say that our recession might be permanent when others in our history have not? And do you think that you risk losing some credibility or even talking down the econom y by using dire language like that? The latest on President Obama, the new administration and other news from Washington and around the nation. MR. ","No, no, no, no. I think that what I've said is what other economists have said across the political spectrum, which is that if you delay acting on an economy of this severity, then you potentially create a negative spiral that becomes much more difficult for us to get out of. We saw this happen in Japan in the 1990s, where they did not act bol dly and swiftly enough, and as a consequence they suffered what was called the ""lost decade,"" where essentially for the entire '90s, they did not see any significant economic growth. So what I'm trying to underscore is what the people in Elkhart already u nderstand, that this is not your ordinary, run - of - the - mill recession. We are going through the worst economic crisis since the Great Depression. We've lost now 3.6 million jobs. But what's perhaps even more disturbing is that almost half of that job loss has taken place over the last three months, which means that the problems are accelerating instead of getting better. Now, what I said in Elkhart today is what I'll repeat this evening, which is I'm absolutely confident that we can solve this problem, bu t it's going to require us to take some significant, important steps. Step number one, we have to pass an economic recovery and reinvestment plan. And we've made progress. There was a vote this evening that moved the process forward in the Senate. We already have a House bill that's passed. I'm hoping over the next several days that the House and the Senate can reconcile their differences and get that bill on my desk. There have been criticisms from a bunch of different directions ab out this bill. So let me just address a few of them. Some of the criticisms really are with the basic idea that government should intervene at all in this moment of crisis. You have some people, very sincere, who philosophically just think the government has no business interfering in the marketplace. And in fact there are several who have suggested that FDR was wrong to intervene back in the New Deal. They're fighting battles that I thought were resolved a pretty long time ago. Most economists, almost u nanimously, recognize that even if philosophically you're -- you're wary of government intervening in the economy, when you have the kind of problem we have right now -- what started on Wall Street goes to Main Street, suddenly businesses can't get credit, they start paring back their investment, they start laying off workers, workers start pulling back in terms of spending -- that when you have that situation, that government is an important element of introducing some additional demand into the economy. W e stand to lose about $1 trillion worth of demand this year and another trillion next year, and what that means is you've got this gaping hole in the economy. That's why the -- the figure that we initially came up with, of approximately $800 billion, was put forward. That wasn't just some random number that I plucked out of -- out of a hat. That was Republican and Democratic, conservative and liberal economists that I spoke to, who indicated that given the magnitude of the crisis and the fact that it's hap pening worldwide, it's important for us to have a bill of sufficient size and scope that we can save or create 4 million jobs. That still means that you're going to have some net job loss, but at least we can start slowing the trend and moving it in the ri ght direction. Now, the recovery and reinvestment package is not the only thing we have to do. It's one leg of the stool. We are still going to have to make sure that we are attracting private capital, get the credit markets flowing again, because that's t he lifeblood of the economy. And so tomorrow my Treasury secretary, Tim Geithner, will be announcing some very clear and specific plans for how we are going to start loosening up credit once again. The latest on President Obama, the new administration and other news from Washington and around the nation. And that means having some transparency and oversight in the system. It means that we correct some of the mistakes, with TARP, that were made earlier, the lack of consistency, the lack of clarity, in term s of how the program was going to move forward. It means that we condition taxpayer dollars that are being provided, to the banks, on them showing some restraint when it comes to executive compensation, not using the money to charter corporate jets when They're not necessary. It means that we focus on housing and how are we going to help homeowners that are suffering foreclosure or homeowners who are still making their mortgage payments but are seeing their property values decline. So there's going to be a whole range of approaches that we have to take for dealing with the economy. My bottom line is to make sure that we are saving or creating 4 million jobs, we are making sure that the financial system is working again, that homeowners are getting some re lief. And I'm happy to get good ideas from across the political spectrum, from Democrats and Republicans. What I won't do is return to the failed theories of the last eight years that got us into this fix in the first place, because those theories have b een tested and they have failed. And that's part of what the election in November was all about. Okay? Caren Bohan of Reuters."
